Year;TempC
1900;12,1
1901;11,9
1902;11,1
1903;10,3
1904;11
1905;10,9
1906;10,6
1907;11,3
1908;10
1909;11
1910;12,5
1911;10,6
1912;10,5
1913;10,7
1914;11,7
1915;11,7
1916;10,6
1917;10,3
1918;11,2
1919;11,3
1920;10,7
1921;12,4
1922;10,6
1923;10,4
1924;10,8
1925;11,7
1926;12,1
1927;11,3
1928;10,3
1929;9,6
1930;9,6
1931;9,9
1932;9
1933;10,2
1934;12,9
1935;11
1936;11,2
1937;10,7
1938;11,1
1939;10,9
1940;12,1
1941;10,8
1942;9,8
1943;11,2
1944;9,6
1945;10,2
1946;11,1
1947;10,88
1948;10,3
1949;10
1950;10,8
1951;10,2
1952;10,6
1953;11,7
1954;11,5
1955;9,7
1956;10,8
1957;10,9
1958;12
1959;10,9
1960;11
1961;11,2
1962;10,3
1963;10,5
1964;9
1965;10,2
1966;11,3
1967;11
1968;10,1
1969;11,1
1970;10,8
1971;10,2
1972;11,2
1973;10,7
1974;11,6
1975;10,4
1976;10,8
1977;11,7
1978;11,8
1979;11,5
1980;11,5
1981;12,3
1982;10,5
1983;11,9
1984;10,5
1985;11
1986;11,5
1987;11,8
1988;11,8
1989;11,2
1990;11,8
1991;11
1992;12
1993;10,1
1994;12,6
1995;12,1
1996;12,3
1997;12,1
1998;11,4
1999;12,1
2000;12,2
2001;11,9
2002;12,6
2003;12,1
2004;12,6
2005;12,3
2006;12,7
2007;11,8
2008;11,7
2009;12,4
2010;11,8
2011;10,6
2012;11,9
2013;11,2
2014;11,7
2015;12,6
2016;12,4
2017;12,6
2018;12
2019;11,9
2020;11,7
2021;12,5
2022;12,2
2023;12,1
